run_id,score,best_epoch,num_epochs_trained,best_val_loss,test_loss,test_f1_micro,test_f1_macro,test_precision_micro,test_recall_micro,val_f1_micro,val_f1_macro,model_path,summary_path,training_log_path,num_sites,physical_dim,bond_dim,dropout_rate,batch_size,learning_rate,weight_decay,num_epochs,patience,lr_scheduler_factor,lr_scheduler_patience
run_00227,0.3555085202496791,1,1,1.0059783515124834,1.101414136425852,0.3561998412990403,0.1973187051077862,0.30379413102609565,0.43045507400411454,0.3555085202496791,0.1969473429912794,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/best_model.pt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00227/summary.txt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00227/training_log.csv,6,240,128,0.2,1024,0.001,1e-06,1,20,0.7,3
run_00235,0.35442473379329037,1,1,0.8932638090716345,0.9724023103897063,0.35410080285081874,0.23903443029309984,0.24191198013847554,0.6603387404831182,0.35442473379329037,0.23925506270752372,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/best_model.pt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00235/summary.txt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00235/training_log.csv,6,240,256,0.1,1024,0.001,1e-06,1,20,0.7,3
run_00018,0.35410591248953044,1,1,0.9092179026434851,1.0163069586534097,0.3553653455195332,0.23031404118760473,0.25032292481148827,0.6123057819496256,0.35410591248953044,0.2295450516814121,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/best_model.pt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00018/summary.txt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00018/training_log.csv,4,240,256,0.1,512,0.001,1e-06,1,20,0.7,3
run_00136,0.35310663161039313,1,1,0.9478752681810185,1.1235486762237425,0.35433336996326115,0.23057606662821886,0.2288346321249725,0.7846619698301036,0.35310663161039313,0.23087471735570567,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/best_model.pt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00136/summary.txt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00136/training_log.csv,5,240,512,0.0,2048,0.001,1e-06,1,20,0.7,3
run_00006,0.3528904082864013,1,1,0.9771147599217694,0.9929419305920263,0.3532933242127524,0.23888123207330836,0.23413293973714783,0.7194552160667589,0.3528904082864013,0.23788867711935824,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/best_model.pt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00006/summary.txt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00006/training_log.csv,4,240,128,0.1,512,0.001,1e-06,1,20,0.7,3
run_00033,0.3528299215146857,1,1,0.9430311362495869,1.1797903590769498,0.3532457024378438,0.22523159418399832,0.24348546610350952,0.6431859915709498,0.3528299215146857,0.22485426027761815,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/best_model.pt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00033/summary.txt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00033/training_log.csv,4,240,512,0.2,256,0.001,1e-06,1,20,0.7,3
run_00210,0.35275217539356474,1,1,0.9260609719651255,1.0723954163847838,0.3539685750488745,0.23549509120525558,0.22930164159059077,0.7757041308660033,0.35275217539356474,0.23502438274287735,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/best_model.pt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00210/summary.txt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00210/training_log.csv,5,450,512,0.1,512,0.001,1e-06,1,20,0.7,3
run_00117,0.35236141103450935,1,1,0.9920749849105724,1.1381082769018938,0.3523897139352521,0.22901766852996078,0.23564983648004204,0.6983483902197761,0.35236141103450935,0.2292661436850757,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/best_model.pt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00117/summary.txt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00117/training_log.csv,5,240,128,0.2,256,0.001,1e-06,1,20,0.7,3
run_00279,0.35161453577672547,1,1,0.9298588235952906,1.199244972670349,0.3524271879026435,0.2236818062085553,0.26553169813232913,0.5238612626738294,0.35161453577672547,0.22332300719997217,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/best_model.pt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00279/summary.txt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00279/training_log.csv,6,360,512,0.0,1024,0.001,1e-06,1,20,0.7,3
run_00296,0.35157936124656497,1,1,0.9170550937075816,0.9335045460462225,0.35228678522622425,0.23123753884399798,0.24142715482652474,0.6513993170469912,0.35157936124656497,0.2305296293532437,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/best_model.pt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00296/summary.txt,src/spectroscopy_qml/ir/mps_encoder/results/grid_search/run_00296/training_log.csv,6,450,128,0.1,2048,0.001,1e-06,1,20,0.7,3
