trial_id,num_sites,physical_dim,bond_dim,dropout_rate,apply_snv,target_length,batch_size,num_epochs,learning_rate,weight_decay,patience,min_delta,num_workers,pin_memory,use_amp,lr_scheduler_factor,lr_scheduler_patience,lr_scheduler_min_lr,threshold_metric,best_epoch,best_val_f1_micro,best_val_f1_macro,best_val_loss,test_f1_micro,test_f1_macro,test_loss
290,4,360,256,0.2,True,1800,512,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,84,0.740829825616356,0.31475709075604374,2.340871810913086,0.7256528417818741,0.2886981592332355,5.501453399658203
291,4,360,256,0.2,True,1800,512,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,138,0.7272727272727273,0.2542705239088222,1.2898540496826172,0.7255216693418941,0.25930798918946246,2.4612908363342285
292,4,360,256,0.2,True,1800,512,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,58,0.6580284552845529,0.30489575294616156,1.161052942276001,0.645344338405984,0.2628035321122718,2.1883113384246826
293,4,360,256,0.2,True,1800,1024,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,109,0.7119393556538218,0.2778500732892404,2.4513652324676514,0.7190582246261533,0.28770376479905074,5.000025272369385
294,4,360,256,0.2,True,1800,1024,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,68,0.7321324811156305,0.3260559796423574,2.2134385108947754,0.7081367924528302,0.29975049622165795,4.660048007965088
295,4,360,256,0.2,True,1800,1024,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,107,0.709814646004254,0.24471249516928573,1.075452446937561,0.7095397744590064,0.24657338686650088,1.799298644065857
296,4,360,256,0.2,True,1800,1024,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,31,0.5415132924335379,0.29547278766691226,0.9408782124519348,0.5346248969497115,0.27735294803614025,1.446062445640564
297,4,360,256,0.2,True,1800,2048,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,99,0.7122011797578391,0.27788171974433795,1.9927717447280884,0.7110552763819096,0.27619281284148417,4.6499128341674805
298,4,360,256,0.2,True,1800,2048,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,30,0.7131324004305705,0.3031640829906894,1.3760137557983398,0.6934286499862524,0.2821466375878497,3.183750629425049
299,4,360,256,0.2,True,1800,2048,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,154,0.6458000638773554,0.23932525169240693,0.9789139628410339,0.6489119844105229,0.24043047686272673,1.5716248750686646
300,4,360,256,0.2,True,1800,2048,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,39,0.5598621877691645,0.29267456616673565,0.937724769115448,0.5517988729952319,0.28108957548248936,1.4283332824707031
301,4,360,256,0.3,True,1800,512,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,98,0.7035684180949705,0.27025576843026533,2.609719753265381,0.7034917000572409,0.2852937175668758,6.1215081214904785
302,4,360,256,0.3,True,1800,512,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,37,0.7211298809194129,0.29740735810435653,1.9729987382888794,0.703486750348675,0.3116101695472713,4.682937145233154
303,4,360,256,0.3,True,1800,512,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,118,0.7269851312875673,0.25604270664832113,1.2806816101074219,0.7233770386952351,0.2582088418931775,2.4990427494049072
304,4,360,256,0.3,True,1800,512,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,92,0.6936912751677853,0.2975095281424177,1.250476598739624,0.6764307024681313,0.25432526861681315,2.427290916442871
305,4,360,256,0.3,True,1800,1024,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,86,0.7073880162885399,0.27543197942086356,2.2870850563049316,0.7246722288438617,0.28899735873309357,5.410211086273193
306,4,360,256,0.3,True,1800,1024,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,25,0.7110504774897681,0.32039415576314095,1.306593418121338,0.705718270571827,0.2972277727640748,3.0185201168060303
307,4,360,256,0.3,True,1800,1024,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,177,0.718500307314075,0.2556568310132666,1.1007767915725708,0.7166305357695881,0.25395919950329315,1.8841181993484497
308,4,360,256,0.3,True,1800,1024,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,26,0.5428990979651772,0.2877456153922447,0.9265991449356079,0.5384940778341794,0.27576790122782907,1.399635672569275
309,4,360,256,0.3,True,1800,2048,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,81,0.7025067955300514,0.27954245348698753,1.7987391948699951,0.699578567128236,0.2988249987350583,4.515501022338867
310,4,360,256,0.3,True,1800,2048,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,30,0.7053964757709251,0.32434178732915875,1.2508866786956787,0.6847704367301232,0.25897906037716667,2.9110267162323
311,4,360,256,0.3,True,1800,2048,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,129,0.6791277258566978,0.25343802321130704,0.971921980381012,0.6769318505845452,0.24764670988766777,1.6561154127120972
312,4,360,256,0.3,True,1800,2048,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,38,0.5770609318996416,0.2991433056929375,0.9131506085395813,0.5664351333183957,0.2607493710265599,1.4252556562423706
313,4,360,256,0.4,True,1800,512,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,147,0.6761623219564633,0.2730817281415523,2.3180251121520996,0.6741996233521658,0.28602779137659723,6.003792762756348
314,4,360,256,0.4,True,1800,512,200,0.001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,54,0.7184035476718403,0.30362179411567086,1.7798618078231812,0.698707138842046,0.29208666174329473,5.062955379486084
315,4,360,256,0.4,True,1800,512,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_micro,121,0.7191080829978321,0.27541730216701615,1.2312887907028198,0.7126865671641791,0.25823541609202316,2.4294347763061523
316,4,360,256,0.4,True,1800,512,200,0.0001,1e-06,20,0.0001,4,True,True,0.7,10,1e-06,f1_macro,54,0.686080683943361,0.29097886458768213,1.1129372119903564,0.676486341724692,0.27400185376155517,2.0895564556121826
