label_idx,label_name,positive_samples_cnn,tp_cnn,fn_cnn,fp_cnn,tn_cnn,f1_cnn,precision_cnn,recall_cnn,error_rate_cnn,binary_error_rate_cnn,positive_samples_ttn,tp_ttn,fn_ttn,fp_ttn,tn_ttn,f1_ttn,precision_ttn,recall_ttn,error_rate_ttn,binary_error_rate_ttn,error_diff,abs_error_diff
5,Alkene,18340,11557,6783,2197,138344,0.7201969215429675,0.8402646502835539,0.6301526717557252,0.3698473282442748,0.0565202887695822,12778,6495,6283,3731,62931,0.5646844027125717,0.6351457070213182,0.5082955079042104,0.4917044920957896,0.1260574018126888,-0.1218571638515148,0.1218571638515148
15,Ester,29851,23248,6603,4159,124871,0.8120437318802612,0.8482504469661035,0.7788013801882684,0.2211986198117316,0.0677362302603835,21463,14108,7355,5002,52975,0.6954378527592241,0.7382522239665097,0.6573172436285701,0.3426827563714299,0.1555513595166163,-0.12148413655969831,0.12148413655969831
0,Acid anhydride,125,30,95,10,158746,0.3636363636363636,0.75,0.24,0.76,0.0006608719733637,83,12,71,51,79306,0.1643835616438356,0.1904761904761904,0.144578313253012,0.8554216867469879,0.0015357502517623,-0.09542168674698792,0.09542168674698792
6,Alkyne,3017,1778,1239,116,155748,0.7240887802891468,0.938753959873284,0.5893271461716937,0.4106728538283062,0.0085283954657888,2101,1040,1061,200,77139,0.622568093385214,0.8387096774193549,0.4950023798191337,0.5049976201808662,0.01587361530715,-0.09432476635256004,0.09432476635256004
26,Phenol,9375,8331,1044,898,148608,0.8956138464846269,0.902698017119948,0.88864,0.11136,0.0122229844978317,6713,5357,1356,1351,71376,0.7983011698085091,0.7985986881335718,0.7980038730820795,0.2019961269179204,0.034076032225579,-0.0906361269179204,0.0906361269179204
28,Sulfide,21664,8652,13012,3257,133960,0.5154141721025824,0.7265093626668906,0.3993722304283604,0.6006277695716395,0.1023973917586117,15008,7286,7722,8588,55844,0.4718606307881614,0.4589895426483558,0.4854744136460554,0.5145255863539445,0.2053121852970795,0.08610218321769503,0.08610218321769503
29,Sulfonamide,7150,6532,618,678,151053,0.90974930362117,0.9059639389736476,0.9135664335664336,0.0864335664335664,0.0081570483569463,5565,4605,960,780,73095,0.8410958904109589,0.8551532033426184,0.8274932614555256,0.1725067385444744,0.0219033232628398,-0.08607317211090801,0.08607317211090801
16,Ether,89771,74915,14856,12738,56372,0.8444742537649923,0.8546769648500336,0.834512258970046,0.165487741029954,0.1736771545999836,63101,57730,5371,10862,5477,0.8767360451960241,0.841643340331234,0.9148824899763872,0.0851175100236129,0.2043429003021148,0.08037023100634111,0.08037023100634111
23,Isothiocyanate,164,145,19,11,158706,0.90625,0.9294871794871796,0.8841463414634146,0.1158536585365853,0.0001888205638182,101,82,19,8,79331,0.8586387434554974,0.9111111111111112,0.8118811881188119,0.1881188118811881,0.0003398791540785,-0.07226515334460279,0.07226515334460279
13,Enamine,2224,846,1378,138,156519,0.527431421446384,0.8597560975609756,0.3803956834532374,0.6196043165467626,0.0095417324916132,3074,960,2114,816,75550,0.3958762886597938,0.5405405405405406,0.3122966818477554,0.6877033181522446,0.0368831822759315,-0.06809900160548199,0.06809900160548199
33,Sulfoxide,930,205,725,30,157921,0.351931330472103,0.8723404255319149,0.2204301075268817,0.7795698924731183,0.0047519841894247,640,182,458,289,78511,0.3276327632763276,0.386411889596603,0.284375,0.715625,0.0094033232628398,0.0639448924731183,0.0639448924731183
36,Thiol,577,507,70,11,158293,0.926027397260274,0.9787644787644788,0.878682842287695,0.121317157712305,0.0005098155223091,362,295,67,16,79062,0.8766716196136701,0.9485530546623794,0.8149171270718232,0.1850828729281768,0.001044813695871,-0.0637657152158718,0.0637657152158718
31,Sulfone,3851,3116,735,400,154630,0.84593457309624,0.8862343572241184,0.8091404829914308,0.1908595170085692,0.007143711331122,2743,2049,694,655,76042,0.7523407380209289,0.7577662721893491,0.7469923441487423,0.2530076558512577,0.0169813695871097,-0.062148138842688466,0.062148138842688466
24,Ketone,13856,6945,6911,2068,142957,0.6073724255542438,0.7705536447353822,0.5012269053117783,0.4987730946882217,0.0565139947507883,9697,4286,5411,4233,65510,0.4705753184014054,0.5031106937433971,0.4419923687738475,0.5580076312261524,0.1213997985901309,-0.059234536537930704,0.059234536537930704
8,Amine,67274,61091,6183,3625,87982,0.9256913402530494,0.9439860312751096,0.9080922793352558,0.0919077206647441,0.0617317363309646,47607,40756,6851,3621,28212,0.8861541137589146,0.9184036775807288,0.8560925914256307,0.1439074085743693,0.1318227593152064,-0.051999687909625184,0.051999687909625184
22,Isocyanate,174,167,7,2,158705,0.9737609329446064,0.9881656804733728,0.9597701149425288,0.0402298850574712,5.664616914546107e-05,136,124,12,6,79298,0.9323308270676692,0.953846153846154,0.9117647058823528,0.088235294117647,0.000226586102719,-0.048005409060175794,0.048005409060175794
27,Phosphine,117,25,92,14,158750,0.3205128205128205,0.6410256410256411,0.2136752136752136,0.7863247863247863,0.0006671659921576,100,26,74,15,79325,0.3687943262411347,0.6341463414634146,0.26,0.74,0.0011203423967774,0.046324786324786316,0.046324786324786316
19,Hydrazone,1049,220,829,39,157793,0.3363914373088685,0.8494208494208494,0.209723546234509,0.7902764537654909,0.00546320831314,785,132,653,311,78344,0.2149837133550488,0.2979683972911964,0.1681528662420382,0.8318471337579618,0.012134944612286,-0.04157067999247088,0.04157067999247088
10,Azo compound,115,2,113,1,158765,0.0338983050847457,0.6666666666666666,0.017391304347826,0.982608695652174,0.0007175181425091,70,4,66,57,79313,0.0610687022900763,0.0655737704918032,0.0571428571428571,0.9428571428571428,0.00154833836858,0.039751552795031175,0.039751552795031175
7,Amide,41960,35235,6725,5045,111876,0.8568822957198443,0.8747517378351539,0.8397283126787417,0.1602716873212583,0.0740806012046752,30053,24233,5820,6013,43374,0.8037612564055788,0.8011968524763605,0.8063421289056001,0.1936578710943998,0.1489551863041289,-0.03338618377314151,0.03338618377314151
25,Nitrile,10402,9153,1249,278,148201,0.9230071093631824,0.9705227441416604,0.8799269371274755,0.1200730628725245,0.0096109666983465,7474,6719,755,220,71746,0.9323527371123292,0.9682951433924196,0.898983141557399,0.101016858442601,0.0122734138972809,0.019056204429923507,0.019056204429923507
12,Carboxylic acid,15901,15683,218,185,142795,0.9873146778305896,0.9883413158558104,0.9862901704295328,0.0137098295704672,0.0025364895739578,11051,10771,280,268,68121,0.9751923947487552,0.9757224386266872,0.9746629264319971,0.0253370735680028,0.0068982880161127,-0.0116272439975356,0.0116272439975356
2,Alcohol,42763,42239,524,491,115627,0.9881276829681962,0.9885092440908028,0.98774641629446,0.0122535837055398,0.0063884290758492,29762,29105,657,312,49366,0.983625948393856,0.989393887887956,0.977924870640414,0.022075129359586,0.0121978851963746,-0.009821545654046198,0.009821545654046198
21,Imine,1178,283,895,39,157664,0.3773333333333333,0.8788819875776398,0.2402376910016977,0.7597623089983022,0.00587861355354,856,213,643,188,78396,0.3389021479713603,0.5311720698254364,0.2488317757009346,0.7511682242990654,0.0104607250755287,0.008594084699236837,0.008594084699236837
4,Alkane,153033,151765,1268,1181,4667,0.9919961827445676,0.9922783204529704,0.9917142054328152,0.0082857945671848,0.0154140520263593,79299,79219,80,109,32,0.998808525660827,0.9986259580475998,0.9989911600398492,0.0010088399601508,0.0023791540785498,0.007276954607034,0.007276954607034
9,Arene,122920,120594,2326,2618,33343,0.9799132172980352,0.97875206960361,0.9810771233322486,0.0189228766677513,0.0311176289172399,74849,73934,915,993,3598,0.9872609763914112,0.9867471005111642,0.987775387780732,0.0122246122192681,0.0240181268882175,0.006698264448483201,0.006698264448483201
34,Thial,9,0,9,0,158872,0.0,0.0,0.0,1.0,5.664616914546107e-05,9,0,9,0,79431,0.0,0.0,0.0,1.0,0.0001132930513595,0.0,0.0
