class_index,label,support_true,support_true_pct,predicted_positive,predicted_positive_pct,prediction_minus_truth_pct,tp,fp,fn,tn,precision,recall,f1,specificity,false_positive_rate,false_negative_rate,threshold,mean_prob_all,mean_prob_true_positive_samples,mean_prob_true_negative_samples,prob_gap_pos_minus_neg,roc_auc,average_precision,train_prevalence,eval_prevalence,eval_minus_train_prevalence,pos_weight
19,Hydrazone,541,0.0068100854722372576,397,0.004997419468536398,-0.0018126660037008598,172,225,369,78675,0.4332493702770781,0.3179297597042514,0.36673773987206826,0.997148288973384,0.0028517110266159697,0.6820702402957486,0.8799999356269836,0.011835088953375816,0.4084588885307312,0.009115527383983135,0.3993433713912964,0.8918389641301725,0.3407366213558415,0.006814881018880572,0.0068100854722372576,-4.795546643314094e-06,12.072187423706055
20,Imide,1479,0.018617590413010913,1217,0.015319545322944071,-0.003298045090066842,947,270,532,77692,0.7781429745275267,0.6402974983096686,0.7025222551928784,0.9965367743259537,0.0034632256740463304,0.3597025016903313,0.8799999356269836,0.023400744423270226,0.7132600545883179,0.01031357329338789,0.7029464840888977,0.9748269683715299,0.7553047930408404,0.018613074941662037,0.018617590413010913,4.515471348876671e-06,7.261244773864746
21,Imine,595,0.0074898352236250805,313,0.003940030966377564,-0.003549804257247517,157,156,438,78690,0.5015974440894568,0.2638655462184874,0.3458149779735683,0.9980214595540674,0.0019785404459325773,0.7361344537815127,0.9399999380111694,0.013698560185730457,0.3705885410308838,0.01100534200668335,0.35958319902420044,0.8440600302216618,0.2922718533827146,0.007489917721050917,0.0074898352236250805,-8.249742583683883e-08,11.511421203613281
22,Isocyanate,92,0.0011580921690311048,92,0.0011580921690311048,0.0,88,4,4,79345,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9999495897868909,5.0410213109175916e-05,0.043478260869565216,0.8999999761581421,0.0013813304249197245,0.9811509251594543,0.0002453514316584915,0.9809055924415588,0.9999889042737451,0.9902549902926902,0.0011612519491881463,0.0011580921690311048,-3.1597801570415907e-06,29.328136444091797
23,Isothiocyanate,74,0.0009315089185684974,63,0.0007930413766191262,-0.00013846754194937123,62,1,12,79366,0.9841269841269841,0.8378378378378378,0.9051094890510949,0.9999874003049126,1.2599695087378886e-05,0.16216216216216217,0.8199999332427979,0.0010648135794326663,0.8750524520874023,0.00024992722319439054,0.8748025298118591,0.9888996686280193,0.9321358953823198,0.0009283721545000086,0.0009315089185684974,3.136764068488755e-06,32.80479049682617
24,Ketone,6877,0.08656738963507508,6914,0.08703314409435933,0.0004657544592842487,3685,3229,3192,69335,0.5329765692797223,0.5358441180747419,0.5344064969907911,0.9555013505319442,0.04449864946805578,0.4641558819252581,0.5999999642372131,0.13943828642368317,0.579505205154419,0.09773247689008713,0.4817727208137512,0.8806488450459605,0.5777726250190711,0.08656991665106267,0.08656738963507508,-2.5270159875884213e-06,3.2482852935791016
25,Nitrile,5240,0.06596090180133685,4780,0.06017044095618132,-0.0057904608451555244,4615,165,625,74036,0.9654811715481172,0.8807251908396947,0.9211576846307385,0.9977763102923142,0.0022236897076858804,0.11927480916030535,0.8799999356269836,0.070126973092556,0.9122545719146729,0.010656772181391716,0.901597797870636,0.988235032839931,0.9569377075326062,0.06596634886966757,0.06596090180133685,-5.447068330721727e-06,3.7628772258758545
26,Phenol,4625,0.058219307410531086,4608,0.058005312118427514,-0.00021399529210357372,3925,683,700,74133,0.8517795138888888,0.8486486486486486,0.8502111989602513,0.9908709366980325,0.009129063301967494,0.15135135135135136,0.6799999475479126,0.06492603570222855,0.8630475401878357,0.015587497502565384,0.8474600315093994,0.991721250549095,0.9228474566453859,0.05821994867203444,0.058219307410531086,-6.412615033563052e-07,4.021969795227051
27,Phosphine,65,0.0008182172933371936,32,0.00040281466748907994,-0.00041540262584811367,20,12,45,79364,0.625,0.3076923076923077,0.41237113402061853,0.9998488208022576,0.00015117919774239064,0.6923076923076923,0.9399999380111694,0.001480728155001998,0.38401150703430176,0.0011674785055220127,0.3828440308570862,0.9239766331229746,0.3603463877052005,0.0008197998177872957,0.0008182172933371936,-1.5825244501021336e-06,34.91145706176758
28,Sulfide,10800,0.13594995027756449,12367,0.15567528102617037,0.019725330748605885,5492,6875,5308,61766,0.4440850650925851,0.5085185185185185,0.47412267449389217,0.8998412027796798,0.10015879722032021,0.49148148148148146,0.47999998927116394,0.22036126255989075,0.49850115180015564,0.17659860849380493,0.3219025433063507,0.80095182220215,0.4933751216133379,0.1359561682462106,0.13594995027756449,-6.217968646110572e-06,2.5209743976593018
29,Sulfonamide,3649,0.04593346005211415,3517,0.044271849548721695,-0.0016616105033924547,3076,441,573,75351,0.8746090417969861,0.8429706768977803,0.8584984649734859,0.9941814439518682,0.0058185560481317285,0.1570293231022198,0.7599999904632568,0.05012602359056473,0.8729525804519653,0.01051110215485096,0.8624414801597595,0.9940366063952675,0.9301447805518221,0.04592767194160382,0.04593346005211415,5.78811051032968e-06,4.557780742645264
30,Sulfonate,901,0.011341750481489407,835,0.01051094522979318,-0.0008308052516962273,771,64,130,78476,0.9233532934131736,0.855715871254162,0.8882488479262672,0.9991851285968933,0.0008148714031066972,0.14428412874583796,0.85999995470047,0.012258149683475494,0.8910028338432312,0.0021773127373307943,0.888825535774231,0.9967448809813503,0.9431946314765585,0.011348169454667902,0.011341750481489407,-6.418973178495477e-06,9.333806037902832
31,Sulfone,1905,0.023980060673959292,1846,0.0232373711307763,-0.0007426895431829911,1493,353,412,77183,0.8087757313109426,0.7837270341207349,0.7960543854972008,0.9954472761040033,0.0045527238959966985,0.2162729658792651,0.699999988079071,0.027112353593111038,0.8096460700035095,0.007886101491749287,0.8017599582672119,0.9901423150624536,0.8695123900147571,0.023978751292246834,0.023980060673959292,1.309381712458202e-06,6.379936695098877
32,Sulfonic acid,1,1.2587958359033748e-05,4,5.035183343613499e-05,3.7763875077101246e-05,0,4,1,79436,0.0,0.0,0.0,0.9999496475327291,5.0352467270896274e-05,1.0,0.11999998986721039,3.035114423255436e-05,1.3276006029627752e-05,3.0351357054314576e-05,-1.7075351934181526e-05,0.9521022155085599,0.0002627430373095113,1.2588097010169609e-05,1.2587958359033748e-05,-1.3865113586062055e-10,281.8494873046875
33,Sulfoxide,455,0.005727521053360355,296,0.0037260356742739894,-0.002001485379086366,129,167,326,78819,0.4358108108108108,0.2835164835164835,0.34354194407456723,0.9978857012635151,0.0021142987364849465,0.7164835164835165,0.8999999761581421,0.009998214431107044,0.3752230703830719,0.007894332520663738,0.3673287332057953,0.8765066308871541,0.2972116751324724,0.005721290091122087,0.005727521053360355,6.2309622382685295e-06,13.182782173156738
34,Thial,5,6.293979179516874e-05,77,0.0009692727936455986,0.0009063330018504299,1,76,4,79360,0.012987012987012988,0.2,0.024390243902439025,0.999043254947379,0.0009567450526209779,0.8,0.019999999552965164,0.00014556611131411046,0.19297641515731812,0.00013342860620468855,0.1928429901599884,0.7700891283549021,0.200691976258915,5.979346079830564e-05,6.293979179516874e-05,3.146330996863097e-06,129.318359375
35,Thioamide,603,0.00759053889049735,524,0.006596090180133684,-0.000994448710363666,304,220,299,78618,0.5801526717557252,0.5041459369817579,0.5394853593611357,0.9972094675156651,0.0027905324843349654,0.49585406301824214,0.7999999523162842,0.010812227614223957,0.5565787553787231,0.006637880112975836,0.5499408841133118,0.9465565594825369,0.5552563874651436,0.007595343033511088,0.00759053889049735,-4.804143013737751e-06,11.430644035339355
36,Thiol,286,0.003600156090683652,229,0.0028826424642187285,-0.0007175136264649237,219,10,67,79145,0.9563318777292577,0.7657342657342657,0.8504854368932039,0.9998736655928242,0.00012633440717579433,0.23426573426573427,0.9399999380111694,0.004062473773956299,0.8355105519294739,0.001058315159752965,0.834452211856842,0.9851825200887168,0.8812596755623509,0.003606489793413593,0.003600156090683652,-6.333702729940938e-06,16.621610641479492
