class_index,label,threshold,prob_p01,prob_p05,prob_p25,prob_p50,prob_p75,prob_p95,prob_p99,true_sample_prob_p50,negative_sample_prob_p50
17,Haloalkane,0.3799999952316284,0.023040007799863815,0.05498808994889259,0.19724366068840027,0.4288173019886017,0.7315168976783752,0.9608694911003113,0.9924778938293457,0.7003524303436279,0.2530966103076935
18,Hydrazine,0.949999988079071,1.1190522250167922e-12,4.394921926387241e-11,9.920171351041063e-09,4.436331835222518e-07,2.2462947526946664e-05,0.010593809187412262,0.8579765558242798,0.9967453479766846,4.117042919915548e-07
19,Hydrazone,0.8799999356269836,8.90009704932089e-14,6.139577561625753e-12,3.0907254533474315e-09,2.2606231198096793e-07,1.6074713130365126e-05,0.007426671218127012,0.48166748881340027,0.12779340147972107,2.15273459502896e-07
20,Imide,0.8799999356269836,9.860410150061907e-14,5.413107462270972e-12,2.5007791393250045e-09,2.0268889500130172e-07,1.6675337974447757e-05,0.020086681470274925,0.9947670698165894,0.9956960678100586,1.7488986259195372e-07
21,Imine,0.9399999380111694,5.249618014596669e-13,3.018244681962656e-11,1.0305806874555401e-08,5.86264604862663e-07,3.5725446650758386e-05,0.014293397776782513,0.5735492706298828,0.030921272933483124,5.616145699605113e-07
22,Isocyanate,0.8999999761581421,1.2837834636493517e-13,2.850875134921549e-12,2.9676863744221293e-10,7.730480255929706e-09,1.9394123285110254e-07,2.1030757125117816e-05,0.0005678563611581922,0.9999755024909973,7.68150698604586e-09
23,Isothiocyanate,0.8199999332427979,1.3259219297599018e-13,2.6588748563982634e-12,2.542966115459677e-10,6.256418494388072e-09,1.6236479893905198e-07,1.7904203559737653e-05,0.0005753947771154344,0.9993635416030884,6.223118020898255e-09
24,Ketone,0.5999999642372131,1.6237601812463254e-05,0.00013239940744824708,0.0024654085282236338,0.018658293411135674,0.13047529757022858,0.8291772603988647,0.993232786655426,0.6789928674697876,0.014002004638314247
25,Nitrile,0.8799999356269836,1.6063239627328585e-09,4.0404277257266585e-08,2.539518618505099e-06,4.1304429032607004e-05,0.0008345330134034157,0.9982932209968567,0.9999997615814209,0.9999684691429138,2.917160418292042e-05
26,Phenol,0.6799999475479126,1.8439831606098522e-10,4.587948243539586e-09,3.955215959194902e-07,8.69137602421688e-06,0.00025693734642118216,0.8952793478965759,0.9999853372573853,0.9984727501869202,6.169872449390823e-06
27,Phosphine,0.9399999380111694,8.685341400076207e-13,1.5345747242379026e-11,1.5079146820085043e-09,4.096453309898607e-08,1.1341611525494955e-06,0.00015593491843901575,0.0072049410082399845,0.052792180329561234,4.076216342241423e-08
28,Sulfide,0.47999998927116394,0.0023525874130427837,0.007525638677179813,0.0387861542403698,0.11662425100803375,0.31596770882606506,0.800682783126831,0.9627172946929932,0.48996806144714355,0.09542134404182434
29,Sulfonamide,0.7599999904632568,1.36383233265841e-12,4.610831161322437e-11,7.1480936725265565e-09,2.851404019565962e-07,1.671652717050165e-05,0.4428533613681793,0.99998939037323,0.9994432330131531,2.058651489278418e-07
30,Sulfonate,0.85999995470047,2.7173548784384383e-14,1.0486544358562222e-12,2.467832049823926e-10,1.1487007789412473e-08,5.464087280415697e-07,0.00026024796534329653,0.9263867735862732,0.9999748468399048,1.0545415207730002e-08
31,Sulfone,0.699999988079071,1.8162081810279423e-13,7.8868482925043e-12,2.1146657758208676e-09,1.0808970074549507e-07,6.883276910230052e-06,0.014168575406074524,0.9995914697647095,0.9979038238525391,8.972649823135725e-08
32,Sulfonic acid,0.11999998986721039,3.044047435993291e-12,3.321633593178497e-11,1.2147811645490947e-09,1.6809087455271765e-08,2.459843813085172e-07,1.2203366168250795e-05,0.00018786577857099473,1.3276006029627752e-05,1.6808350267183414e-08
33,Sulfoxide,0.8999999761581421,1.3739756673982612e-13,9.28330502747432e-12,3.4871729948093844e-09,2.0447758686259476e-07,1.2310236343182623e-05,0.005165304522961378,0.3542335033416748,0.055124394595623016,1.9852309662837797e-07
34,Thial,0.019999999552965164,2.6165532414357262e-12,3.6197871089438394e-11,1.9664554429255077e-09,3.306991658291736e-08,5.761091301792476e-07,3.639698479673825e-05,0.0006365828448906541,0.0001704170135781169,3.3065216342720305e-08
35,Thioamide,0.7999999523162842,3.1154877397528147e-13,1.3461735198783131e-11,3.6795164692904336e-09,1.8753311792352179e-07,9.942268661689013e-06,0.0040130615234375,0.40339645743370056,0.8248369097709656,1.787346946002799e-07
36,Thiol,0.9399999380111694,7.520672046278445e-14,2.820124125543777e-12,4.913527362759851e-10,1.7624273596084095e-08,5.993998115627619e-07,0.00011015939526259899,0.0077543905936181545,0.999896764755249,1.7219621284425557e-08
