class_index,label,threshold,prob_p01,prob_p05,prob_p25,prob_p50,prob_p75,prob_p95,prob_p99,true_sample_prob_p50,negative_sample_prob_p50
10,Azo compound,0.699999988079071,2.6283636170603873e-16,6.57008220614555e-15,1.0060393273655932e-12,4.081893503760092e-11,2.093611950471086e-09,7.996727049430774e-07,5.948777834419161e-05,1.3817098079016432e-06,4.081893503760092e-11
11,Carbamate,0.8500000238418579,5.023876280461985e-20,2.2966388466126545e-17,1.7757645939635303e-13,1.6656674650672443e-10,5.896417860640213e-07,0.9999897480010986,0.9999998807907104,0.9999910593032837,4.4135792243160665e-11
12,Carboxylic acid,0.550000011920929,7.882359301688505e-25,2.254936809468916e-22,1.7709775614540875e-18,3.9849567093667385e-15,1.3384013342054857e-10,0.9999958276748657,0.9999995231628418,0.9999959468841553,7.846844931332466e-16
13,Enamine,0.6000000238418579,5.469756615925272e-19,6.645543894960403e-17,1.299177237144844e-13,4.211466939074704e-11,1.621222978087644e-08,0.00013342000602278858,0.39640694856643677,0.1808299571275711,3.658985614496402e-11
14,Enol,0.8500000238418579,1.3971816837235135e-23,1.3813163971876343e-21,3.9909595127499215e-18,3.5167118139268778e-15,4.23558367199095e-12,1.3363880668748607e-07,0.00032150361221283674,0.993416428565979,3.3036449112097948e-15
15,Ester,0.75,3.2661311264066406e-13,4.625391736290396e-11,8.233248394162729e-08,2.392351052549202e-05,0.026861203834414482,0.9999991655349731,1.0,0.999783456325531,3.3667395200609462e-06
16,Ether,0.30000001192092896,0.049039628356695175,0.08137363195419312,0.18907149136066437,0.5047033429145813,0.981979250907898,0.9999994039535522,1.0,0.9382373094558716,0.20275871455669403
17,Haloalkane,0.4000000059604645,0.014194237999618053,0.035813190042972565,0.14706450700759888,0.4179840087890625,0.8591918349266052,0.9948403239250183,0.999373733997345,0.837221086025238,0.19329959154129028
18,Hydrazine,0.6499999761581421,1.6802566104903954e-17,1.2153429897529674e-15,7.36034117768819e-13,8.117814059849238e-11,1.0799672267580718e-08,2.586742994026281e-05,0.2922981083393097,0.9990600943565369,7.276761831986889e-11
19,Hydrazone,0.550000011920929,8.292894268066704e-18,6.111128838620595e-16,3.531529994653393e-13,4.8473686869998645e-11,8.543244334191513e-09,2.6897845600615256e-05,0.01572399213910103,0.07185126841068268,4.553681390295772e-11
20,Imide,0.6499999761581421,2.7503667479448086e-19,4.030726055262286e-17,9.069719123953532e-14,2.3996216472199627e-11,7.307423555147352e-09,0.00011412239109631628,0.9997730851173401,0.9998517036437988,1.9893559022321483e-11
21,Imine,0.44999998807907104,1.7335937126961822e-17,1.2937259363842227e-15,8.471699904089025e-13,1.109573752322568e-10,1.5960882393528664e-08,3.0006618544575758e-05,0.013356021605432034,0.02391655743122101,1.0423480828469778e-10
22,Isocyanate,0.6000000238418579,5.409312880667146e-22,4.869308535718502e-20,3.906713814339356e-17,4.959358000899668e-15,7.835041751676208e-13,1.8189617589925433e-09,5.106950311528635e-07,0.9999991655349731,4.959358000899668e-15
23,Isothiocyanate,0.8500000238418579,5.991139722955715e-18,1.3635771965938182e-16,3.1344112011834693e-14,1.9697292841930336e-12,1.3384013342054857e-10,4.993717794832264e-08,3.966985786973964e-06,0.9999394416809082,1.9391914289623724e-12
24,Ketone,0.550000011920929,5.749522023787777e-19,3.9456414633616934e-16,1.0648256582035387e-11,2.0176445403308207e-08,5.5622065701754764e-05,0.9662197828292847,0.9999227523803711,0.9193534255027771,6.972792565562713e-09
25,Nitrile,0.5,1.7913182622965417e-20,5.62815467219397e-18,3.6076847618245894e-14,1.9281500007739538e-11,1.7805648511171057e-08,0.9991672039031982,0.999988317489624,0.9999076128005981,8.55611415051527e-12
26,Phenol,0.8500000238418579,2.2106625828090657e-24,1.075770298025716e-21,1.529891056996016e-17,3.9622669836987534e-14,3.312575214131641e-10,0.9872773289680481,0.999984860420227,0.9997965693473816,1.551645944163852e-14
27,Phosphine,0.8500000238418579,2.0469717164191622e-16,5.116785850410458e-15,7.36034117768819e-13,3.081174898555972e-11,1.3101489892974882e-09,3.632678442500037e-07,2.7535690605873242e-05,9.66610878094798e-06,3.081174898555972e-11
28,Sulfide,0.3499999940395355,2.940077348245751e-11,1.876701904990341e-09,9.797794291444006e-07,8.220189192797989e-05,0.009125636890530586,0.9984452128410339,0.9999994039535522,0.5498369932174683,3.373722574906424e-05
29,Sulfonamide,0.800000011920929,1.0546480234847823e-23,7.014903569168817e-21,9.6692093181749e-17,1.1645748926834842e-13,4.388449326153676e-10,0.26511871814727783,0.999988317489624,0.9998893737792969,6.233520102004453e-14
30,Sulfonate,0.75,5.517649468663297e-20,3.9909595127499215e-18,3.4085141545852184e-15,4.980255032156766e-13,1.257311754709889e-10,1.5903377743597957e-06,0.9976438879966736,0.9999994039535522,4.4642721051986467e-13
31,Sulfone,0.8500000238418579,1.7021158350822594e-22,4.869308535718502e-20,2.978326131828138e-16,1.7482341258239636e-13,3.016134009214966e-10,0.0003668626013677567,0.9999823570251465,0.9999285936355591,1.299177237144844e-13
32,Sulfonic acid,0.5,2.924246639675476e-21,8.545902115022526e-20,3.0425516109603074e-17,3.008003095805495e-15,3.7010119361552407e-13,3.1118765897453216e-10,2.5505418221882792e-08,9.952085520126275e-07,3.008003095805495e-15
33,Sulfoxide,0.44999998807907104,5.991139722955715e-18,5.393052422421026e-16,4.75219310517444e-13,6.835885330014335e-11,1.1142491374016572e-08,1.892514956125524e-05,0.005143644288182259,0.003914823289960623,6.625566761897517e-11
34,Thial,0.10000000149011612,9.097065481863679e-20,3.9909595127499215e-18,1.6100679664699967e-15,1.182914307956348e-13,8.827714600978531e-12,5.022314564229191e-09,4.2803412725334056e-07,0.00027586790383793414,1.182914307956348e-13
35,Thioamide,0.6499999761581421,4.290685760730551e-17,2.342635210572956e-15,1.0379743939359365e-12,9.198689726597209e-11,9.382918442213395e-09,1.6061610949691385e-05,0.022202176973223686,0.9918750524520874,8.641368176576236e-11
36,Thiol,0.75,2.1329934973363324e-15,4.3516985127152116e-14,4.041622071737638e-12,1.1270469280066919e-10,3.5613543225565536e-09,6.227858762031246e-07,5.5622065701754764e-05,0.9999971389770508,1.109573752322568e-10
